%ID	p_x    	p_y    	p_theta	z_-90	z_0	z_90	z_180	
0	0	0	0	-90	0	90	180
1	2.3158	17.684	1.5708	17.7	2.4	2.4	17.7
2	4	17.333	1.5708	16.1	2.7	4	17.4
3	4.3509	14.246	1.5708	15.7	5.8	4.4	14.3
4	2.807	13.895	1.5708	17.2	6.2	2.9	13.9
5	7.2982	14.316	1.5708	12.8	5.7	7.3	14.4
6	7.2281	11.298	1.5708	12.8	8.8	7.3	11.3
7	4.1404	9.8947	1.5708	15.9	10.2	4.2	9.9
8	8.4912	10.246	1.5708	11.6	9.8	8.5	10.3
9	10.035	14.877	1.5708	10	5.2	10.1	14.9
10	11.228	11.649	1.5708	8.8	8.4	11.3	11.7
11	11.368	7.5088	1.5708	8.7	12.5	11.4	7.6
12	7.6491	6.3158	1.5708	12.4	13.7	7.7	6.4
13	11.088	10.105	1.5708	9	9.9	11.1	10.2
14	15.298	10.667	1.5708	4.8	9.4	15.3	10.7
15	15.018	15.158	1.5708	5	4.9	15.1	15.2
16	11.368	17.544	1.5708	8.7	2.5	11.4	17.6
17	6.4561	17.544	1.5708	13.6	2.5	6.5	17.6
18	3.1579	6.1053	1.5708	16.9	13.9	3.2	6.2
19	5.9649	4.1404	1.5708	14.1	15.9	6	4.2
20	10.737	3.9298	1.5708	9.3	16.1	10.8	4
21	15.93	3.7895	1.5708	4.1	16.3	16	3.8
22	16.632	6.8772	1.5708	3.4	13.2	16.7	6.9
23	13.123	7.2982	1.5708	6.9	12.8	13.2	7.3
24	12.842	11.719	1.5708	7.2	8.3	12.9	11.8
25	16.702	12.842	1.5708	3.3	7.2	16.8	12.9
26	16.14	17.404	1.5708	3.9	2.6	16.2	17.5
27	8.4211	17.053	1.5708	11.6	3	8.5	17.1
28	12.632	14.807	1.5708	7.4	5.2	12.7	14.9
29	6.0351	8.4912	1.5708	14	11.6	6.1	8.5
30	2.3158	11.579	1.5708	17.7	8.5	2.4	11.6
31	2.1053	7.6491	1.5708	17.9	12.4	2.2	7.7
32	1.9649	4.4912	1.5708	18.1	15.6	2	4.5
33	2.7368	2.0351	1.5708	17.3	18	2.8	2.1
34	7.2281	1.9649	1.5708	12.8	18.1	7.3	2
35	11.088	2.0351	1.5708	9	18	11.1	2.1
36	13.895	1.8947	1.5708	6.2	18.2	13.9	1.9
37	13.333	5.4035	1.5708	6.7	14.6	13.4	5.5
38	9.1228	7.9298	1.5708	10.9	12.1	9.2	8
39	16.14	8.7719	1.5708	3.9	11.3	16.2	8.8
40	14.526	12.912	1.5708	5.5	7.1	14.6	13
41	13.825	17.544	1.5708	6.2	2.5	13.9	17.6
42	18.035	15.088	1.5708	2	5	18.1	15.1
43	18.246	3.5789	1.5708	1.8	16.5	18.3	3.6
44	16.912	1.6842	1.5708	3.1	18.4	17	1.7
