%ID	p_x    	p_y    	p_theta	z_-90	z_0	z_90	z_180	
0	0	0	0	-90	0	90	180
1	13.123	12.421	1.5708	6.9	7.6	6.8	12.5
2	14.667	6.3158	1.5708	5.4	13.7	14.7	6.4
3	9.6842	4.4912	1.5708	10.4	5.1	9.7	4.5
4	3.2281	7.3684	1.5708	4.3	2.9	3.3	7.4
5	3.0175	14.947	1.5708	17	5.1	3.1	2.5
6	7.6491	17.614	1.5708	12.4	2.4	7.7	6.2
7	9.6842	12.561	1.5708	10.4	7.5	3.6	2.4
8	12.772	5.4035	1.5708	7.3	14.6	12.8	5.5
9	16.491	2.5965	1.5708	3.6	17.5	16.5	2.6
10	15.719	8.9123	1.5708	4.3	11.1	6.6	9
11	15.439	12.561	1.5708	4.6	7.5	9.4	12.6
12	12.632	16.702	1.5708	7.4	3.3	12.7	16.8
13	3.2982	18.246	1.5708	16.8	1.8	3.3	5.5
14	2.1754	7.2982	1.5708	5.6	3.7	2.2	7.3
15	5.1228	2.5965	1.5708	14.9	6.4	5.2	2.6
16	8.1404	2.1754	1.5708	11.9	5.2	8.2	2.2
17	6.2456	4.8421	1.5708	13.8	3.4	6.3	4.9
18	2.1754	3.1579	1.5708	17.9	7.8	2.2	3.2
19	13.965	2.5263	1.5708	6.1	17.5	14	2.6
20	13.123	7.5088	1.5708	6.9	12.5	4.9	7.6
21	17.123	10.947	1.5708	2.9	9.1	8.7	11
22	17.123	15.298	1.5708	2.9	4.8	17.2	15.3
23	15.439	18.877	1.5708	4.6	1.2	15.5	18.9
24	10.667	15.579	1.5708	9.4	4.5	10.7	15.6
25	7.7895	14.386	1.5708	12.3	5.7	7.8	2.9
26	13.404	10.526	1.5708	6.6	9.5	4.4	10.6
27	14.105	15.088	1.5708	5.9	5	14.2	15.1
28	4.2105	16.912	1.5708	15.8	3.1	4.3	3.2
29	17.895	6.1053	1.5708	2.2	13.9	17.9	6.2
30	11.649	2.0351	1.5708	8.4	18	11.7	2.1
31	1.6842	8.9123	1.5708	3.5	11.1	1.7	9
32	1.0526	15.86	1.5708	19	4.2	1.1	15.9
